entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	uniprot	cancer	cancer_type	cancer_dom	cancer_rec	duplicability	origin	mirna	function	chromosome	tstart	tend	aliases	main_refseq	duplicability_main_refseq	potential_false_positive	primary_sites	degree	betweenness	clustering	complexes
3227	HOXC11	homeobox C11	12q13.3	9275	5123	605559	NP_055027	NM_014212	ENSP00000446680	O43248	TRUE	cgc	1	0	0	Opisthokonts	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr12	54367026	54369194	|HOX3H|	NP_055027	0	FALSE	1	12	2385	0.1060	
3229	HOXC13	homeobox C13	12q13.3	862	5125	142976	NP_059106	NM_017410	ENSP00000243056	P31276	TRUE	cgc	1	0	0	Vertebrates	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr12	54332691	54339037	|ECTD9|HOX3G|	NP_059106	0	FALSE	1	7	265	0.0000	
3237	HOXD11	homeobox D11	2q31.1	869	5134	142986	NP_067015	NM_021192;XR_241309	ENSP00000249504	P31277	TRUE	cgc	1	0	0	Vertebrates	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr2	176972084	176973867	|HOX4F|	NP_067015	0	FALSE	1	2	16	0.0000	
3239	HOXD13	homeobox D13	2q31.1	872	5136	142989	NP_000514	NM_000523	ENSP00000376322	P35453	TRUE	cgc	1	0	0	Vertebrates	2	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr2	176957619	176959455	|BDE|BDSD|HOX4I|SPD|	NP_000514	0	FALSE	1	6	172	0.4000	
3242	HPD	4-hydroxyphenylpyruvate dioxygenase	12q24.31	2041	5147	609695	NP_001165464;NP_002141	NM_001171993;NM_002150	ENSP00000289004	P32754	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism	chr12	122277637	122295725	|4-HPPD|4HPPD|GLOD3|HPPDASE|	NP_002141	0	FALSE	1	4	50	0.3330	
3265	HRAS	Harvey rat sarcoma viral oncogene homolog	11p15.5	1813	5173	190020	NP_001123914;NP_005334;NP_789765;XP_006718280;XP_006725199	NM_001130442;NM_005343;NM_176795;XM_006718217;XM_006725136;XR_242795;XR_430702	ENSP00000309845	P01112	TRUE	cgc	1	0	2	Last Universal Common Ancestor	6	Cell motility and interactions,Development,Signal transduction	chr11	532639	534322	|C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|RASH1|p21ras|	NP_001123914	2	FALSE	6	117	88405	0.0390	22
3320	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	14q32.33	777	5253	140571	NP_001017963;NP_005339	NM_001017963;NM_005348	ENSP00000335153	P07900	TRUE	cgc	1	0	6	Last Universal Common Ancestor	3	Cell response to stimuli,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism,Signal transduction	chr14	102548052	102605741	|EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|	NP_001017963	6	FALSE	1	756	1866248	0.0280	88
3326	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	6p12	6763	5258	140572	NP_001258898;NP_001258899;NP_001258900;NP_001258901;NP_031381;XP_005249132	NM_001271969;NM_001271970;NM_001271971;NM_001271972;NM_007355;NR_073528;XM_005249075	ENSP00000325875	P08238	TRUE	cgc	1	0	9	Last Universal Common Ancestor	1	Cell response to stimuli,Cellular metabolism,Cellular processes,Regulation of intracellular processes and metabolism	chr6	44216367	44221332	|D6S182|HSP84|HSP90B|HSPC2|HSPCB|	NP_001258898	9	FALSE	1	618	1202175	0.0300	29
3354	HTR1E	5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled	6q14-q15	1635	5291	182132	NP_000856	NM_000865	ENSP00000307766	P28566	TRUE	can	0	0	0	Metazoans	0	Multicellular activities,Signal transduction	chr6	87725053	87726147	|5-HT1E|	NP_000856	0	FALSE	1	3	19	0.3330	2
3371	TNC	tenascin C	9q33	1756	5318	187380	NP_002151;XP_005252029;XP_005252030;XP_005252031;XP_005252032;XP_006717159;XP_006717160;XP_006717161;XP_006717162;XP_006717163;XP_006717164	NM_002160;XM_005251972;XM_005251973;XM_005251974;XM_005251975;XM_006717096;XM_006717097;XM_006717098;XM_006717099;XM_006717100;XM_006717101	ENSP00000232975;ENSP00000265131	P24821	TRUE	can	0	0	0	Last Universal Common Ancestor	1	Cell cycle,Development,Multicellular activities,Signal transduction	chr9	117783439	117853297	|150-225|DFNA56|GMEM|HXB|JI|	NP_002151	0	FALSE	1	6	1426	0.2670	9
3394	IRF8	interferon regulatory factor 8	16q24.1	3336	5358	601565	NP_002154;XP_006721250	NM_002163;XM_006721187	ENSP00000268638	Q02556	TRUE	can	0	0	0	Metazoans	0	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr16	85936622	85954885	|H-ICSBP|ICSBP|ICSBP1|IMD32A|IMD32B|IRF-8|	NP_002154	0	FALSE	1	22	3262	0.1390	
3399	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	1p36.13-p36.12	2608	5362	600277	NP_002158	NM_002167	ENSP00000363689	Q02535	TRUE	can	0	0	0	Vertebrates	5	Cell cycle,Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr1	23885454	23885917	|HEIR-1|bHLHb25|	NP_002158	0	FALSE	1	39	7947	0.0490	
3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	2q33.3	984	5382	147700	NP_001269315;NP_001269316;NP_005887	NM_001282386;NM_001282387;NM_005896	ENSP00000260985	O75874	TRUE	cgc	1	0	1	Last Universal Common Ancestor	2	Cellular metabolism	chr2	209101806	209116275	|HEL-216|HEL-S-26|IDCD|IDPC|PICD|	NP_001269315	1	FALSE	6	33	13152	0.1420	1
3418	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	15q26.1	-	5383	147650	NP_001276839;NP_002159	NM_001289910;NM_002168	ENSP00000331897	P48735	TRUE	cgc	1	0	0	Last Universal Common Ancestor	2	Cellular metabolism	chr15	90627501	90645622	|D2HGA2|ICD-M|IDHM|IDPM|mNADP-IDH|	NP_002159	0	FALSE	3	7	421	0.0950	
3437	IFIT3	interferon-induced protein with tetratricopeptide repeats 3	10q24	5228	5411	604650	NP_001026853;NP_001276687;NP_001276688;NP_001540	NM_001031683;NM_001289758;NM_001289759;NM_001549	ENSP00000360876	O14879	TRUE	can	0	0	0	Eukaryotes	6	-1	chr10	91098416	91099882	|CIG-49|GARG-49|IFI60|IFIT4|IRG2|ISG60|RIG-G|	NP_001026853	0	FALSE	1	55	32841	0.1600	
3481	IGF2	insulin-like growth factor 2	11p15.5	939	5466	147470	NP_000603;NP_001007140;NP_001121070	NM_000612;NM_001007139;NM_001127598	ENSP00000391826	P01344	TRUE	can	0	0	0	Vertebrates	6	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr11	2154220	2161526	|C11orf43|IGF-II|PP9974|	NP_001121070	0	FALSE	1	24	22964	0.0470	13
3482	IGF2R	insulin-like growth factor 2 receptor	6q26	928	5467	147280	NP_000867	NM_000876	ENSP00000349437	P11717	TRUE	can	0	0	0	Opisthokonts	8	Cellular processes,Signal transduction	chr6	160390279	160526113	|CD222|CIMPR|M6P-R|MPR1|MPRI|	NP_000867	0	FALSE	2	26	17373	0.0770	2
3492	IGH	immunoglobulin heavy locus	14q32.33	-	-	146910	-	-	-	NA	TRUE	cgc	1	0	-1	-	0	-1	-	0	0	|IGD1|IGH.1@|IGH@|IGHD@|IGHDY1|IGHJ|IGHJ@|IGHV|IGHV@|	-	-1	FALSE	1				
3535	IGL	immunoglobulin lambda locus	22q11.2	-	-	-	-	-	-	NA	TRUE	cgc	1	0	-1	-	0	-1	-	0	0	|IGL@|	-	-1	FALSE	1				
3552	IL1A	interleukin 1, alpha	2q14	-	5991	147760	NP_000566	NM_000575	ENSP00000263339	P01583	TRUE	can	0	0	0	Mammals	2	Cell cycle,Cell response to stimuli,Development,Immune system response,Regulation of intracellular processes and metabolism	chr2	113532647	113541347	|IL-1A|IL1|IL1-ALPHA|IL1F1|	NP_000566	0	FALSE	1	10	1121	0.0440	11
3553	IL1B	interleukin 1, beta	2q14	985	5992	147720	NP_000567;XP_006712559	NM_000576;XM_006712496	ENSP00000263341	P01584	TRUE	can	0	0	0	Vertebrates	1	Cell cycle,Cell motility and interactions,Cell response to stimuli,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr2	113587941	113593806	|IL-1|IL1-BETA|IL1F2|	NP_000567	0	FALSE	1	18	18869	0.0780	11
3558	IL2	interleukin 2	4q26-q27	-	6001	147680	NP_000577	NM_000586	ENSP00000226730	P60568	TRUE	cgc	1	0	0	Mammals	1	Cell cycle,Development,Immune system response,Regulation of intracellular processes and metabolism	chr4	123372910	123377595	|IL-2|TCGF|lymphokine|	NP_000577	0	FALSE	1	10	1187	0.1110	15
3561	IL2RG	interleukin 2 receptor, gamma	Xq13.1	2391	6010	308380	NP_000197	NM_000206	ENSP00000363318	P31785	TRUE	can	0	0	0	Vertebrates	0	Signal transduction	chrX	70327589	70331389	|CD132|CIDX|IL-2RG|IMD4|P64|SCIDX|SCIDX1|	NP_000197	0	FALSE	1	26	3853	0.1450	15
3572	IL6ST	interleukin 6 signal transducer	5q11.2	2824	6021	600694	NP_001177910;NP_002175;NP_786943;XP_005248553	NM_001190981;NM_002184;NM_175767;XM_005248496	ENSP00000338799	P40189	TRUE	cgc	1	0	0	Vertebrates	4	Signal transduction	chr5	55236913	55272106	|CD130|CDW130|IL-6RB|	NP_002175	0	FALSE	1	37	44374	0.1400	20
3575	IL7R	interleukin 7 receptor	5p13	893	6024	146661	NP_002176;XP_005248356;XP_005248357	NM_002185;XM_005248299;XM_005248300	ENSP00000306157	P16871	TRUE	cgc	1	0	0	Vertebrates	1	DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr5	35857080	35876585	|CD127|CDW127|IL-7R-alpha|IL7RA|ILRA|	NP_002176	0	FALSE	1	103	23628	0.0980	3
3597	IL13RA1	interleukin 13 receptor, alpha 1	Xq24	2125	5974	300119	NP_001551;XP_005262468	NM_001560;XM_005262411	ENSP00000360730	P78552	TRUE	can	0	0	0	Vertebrates	0	Signal transduction	chrX	117861602	117925814	|CD213A1|IL-13Ra|NR4|	NP_001551	0	FALSE	1	9	4189	0.1670	
3624	INHBA	inhibin, beta A	7p15-p13	-	6066	147290	NP_002183	NM_002192	ENSP00000242208	P08476	TRUE	can	0	0	0	Metazoans	1	Cell cycle,Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Immune system response,Multicellular activities,Regulation of intracellular processes and metabolism,Regulation of transcription,Signal transduction	chr7	41729251	41739972	|NA|	NP_002183	0	FALSE	1	17	1776	0.2500	4
3631	INPP4A	inositol polyphosphate-4-phosphatase, type I, 107kDa	2q11.2	2949	6074	600916	NP_001127696;NP_001127697;NP_001557;NP_004018;XP_006712562;XP_006712563;XP_006712564;XP_006712565;XP_006712566;XP_006712567;XP_006712568;XP_006712569;XP_006712570;XP_006712571;XP_006712572	NM_001134224;NM_001134225;NM_001566;NM_004027;XM_006712499;XM_006712500;XM_006712501;XM_006712502;XM_006712503;XM_006712504;XM_006712505;XM_006712506;XM_006712507;XM_006712508;XM_006712509	ENSP00000074304	Q96PE3	TRUE	can	0	0	0	Eukaryotes	0	Signal transduction	chr2	99136512	99204068	|INPP4|TVAS1|	NP_001127696	0	FALSE	1	4	81	0.0000	
3660	IRF2	interferon regulatory factor 2	4q34.1-q35.1	962	6117	147576	NP_002190;XP_005263041;XP_005263043	NM_002199;XM_005262984;XM_005262986	ENSP00000377218	P14316	TRUE	can	0	0	0	Metazoans	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr4	185309915	185350218	|IRF-2|	NP_002190	0	FALSE	1	31	13121	0.1270	
3662	IRF4	interferon regulatory factor 4	6p25-p23	3543	6119	601900	NP_001182215;NP_002451;XP_006715153	NM_001195286;NM_002460;NR_036585;NR_046000;XM_006715090	ENSP00000370343	Q15306	TRUE	cgc	1	0	0	Metazoans	1	Cellular metabolism,DNA/RNA metabolism and transcription,Development,Immune system response,Regulation of intracellular processes and metabolism,Regulation of transcription	chr6	393153	407595	|LSIRF|NF-EM5|	NP_002451	0	FALSE	1	23	2751	0.0160	
3664	IRF6	interferon regulatory factor 6	1q32.3-q41	6227	6121	607199	NP_001193625;NP_006138	NM_001206696;NM_006147	ENSP00000355988	O14896	TRUE	can	0	0	0	-	1	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr1	209961768	209974758	|LPS|OFC6|PIT|PPS1|VWS|	NP_006138	0	FALSE	1	7	187	0.0000	
3667	IRS1	insulin receptor substrate 1	2q36	943	6125	147545	NP_005535;XP_005246591;XP_006712575	NM_005544;XM_005246534;XM_006712512	ENSP00000304895	P35568	TRUE	can	0	0	0	Metazoans	7	Cell response to stimuli,Regulation of intracellular processes and metabolism,Signal transduction	chr2	227659729	227663454	|HIRS-1|	NP_005535	0	FALSE	1	96	45693	0.1390	9
3676	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	2q31.3	-	6140	192975	NP_000876	NM_000885	ENSP00000380227	P13612	TRUE	can	0	0	0	Last Universal Common Ancestor	2	Cell motility and interactions,Development,Immune system response,Signal transduction	chr2	182322382	182400251	|CD49D|	NP_000876	0	FALSE	1	470	356323	0.0450	28
3702	ITK	IL2-inducible T-cell kinase	5q31-q32	1746	6171	186973	NP_005537	NM_005546	ENSP00000398655	Q08881	TRUE	cgc	1	0	0	Eukaryotes	0	Cell response to stimuli,Cellular metabolism,Cellular processes,Signal transduction	chr5	156607989	156679685	|LPFS1|LYK|	NP_005537	0	FALSE	2	39	4117	0.2520	5
3707	ITPKB	inositol-trisphosphate 3-kinase B	1q42.13	942	6179	147522	NP_002212;XP_005273177	NM_002221;XM_005273120	ENSP00000272117	P27987	TRUE	can	0	0	0	Opisthokonts	0	Signal transduction	chr1	226822375	226925159	|IP3-3KB|IP3K|IP3K-B|IP3KB|PIG37|	NP_002212	0	FALSE	1	5	491	0.1000	
3716	JAK1	Janus kinase 1	1p32.3-p31.3	992	6190	147795	NP_002218;XP_005270898;XP_006710687	NM_002227;XM_005270841;XM_006710624	ENSP00000343204	P23458	TRUE	cgc	1	0	0	Eukaryotes	4	Cellular metabolism,Cellular processes,Signal transduction	chr1	65300248	65349161	|JAK1A|JAK1B|JTK3|	NP_002218	0	FALSE	1	97	60965	0.1150	45
3717	JAK2	Janus kinase 2	9p24	993	6192	147796	NP_004963;XP_005251512	NM_004972;XM_005251455	ENSP00000371067	O60674	TRUE	cgc	1	0	0	Last Universal Common Ancestor	4	Cell cycle,Cellular metabolism,Cellular processes,Development,Regulation of intracellular processes and metabolism,Signal transduction	chr9	5021988	5126788	|JTK10|THCYT3|	NP_004963	0	FALSE	2	118	62912	0.1150	58
3718	JAK3	Janus kinase 3	19p13.1	2547	6193	600173	NP_000206;XP_005259953;XP_006722808	NM_000215;XM_005259896;XM_006722745;XR_430137	ENSP00000391676	P52333	TRUE	cgc	1	0	0	Eukaryotes	1	Cellular metabolism,Cellular processes	chr19	17937555	17958870	|JAK-3|JAK3_HUMAN|JAKL|L-JAK|LJAK|	XP_005259953	0	FALSE	1	61	12749	0.1150	18
3725	JUN	jun proto-oncogene	1p32-p31	1302	6204	165160	NP_002219	NM_002228	ENSP00000360266	P05412	TRUE	cgc	1	0	0	Metazoans	7	Cellular metabolism,Cellular processes,DNA/RNA metabolism and transcription,Development,Regulation of intracellular processes and metabolism,Regulation of transcription	chr1	59247750	59248742	|AP1|c-Jun|	NP_002219	0	FALSE	1	223	226710	0.0720	17
3742	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6	12p13	-	6225	176257	NP_002226;XP_005253743	NM_002235;XM_005253686	ENSP00000280684	P17658	TRUE	can	0	0	1	Last Universal Common Ancestor	0	Cellular processes	chr12	4919208	4920794	|HBK2|KV1.6|PPP1R96|	NP_002226	1	FALSE	1	2	0	1.0000	
3762	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	11q24	-	6266	600734	NP_000881;XP_005271600	NM_000890;XM_005271543	ENSP00000339960	P48544	TRUE	cgc	1	0	1	Last Universal Common Ancestor	0	Cellular processes	chr11	128781169	128786623	|GIRK4|KATP1|KIR3.4|LQT13|	NP_000881	1	FALSE	1	4	38	0.5000	1
3791	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	4q11-q12	1867	6307	191306	NP_002244	NM_002253	ENSP00000263923	P35968	TRUE	cgc	1	0	0	Eukaryotes	3	Cellular metabolism,Cellular processes,Development,Signal transduction	chr4	55946111	55991460	|CD309|FLK1|VEGFR|VEGFR2|	NP_002244	0	FALSE	2	64	45150	0.1090	42
3792	KEL	Kell blood group, metallo-endopeptidase	7q33	194	6308	613883	NP_000411;XP_005250050;XP_005250051;XP_005250052;XP_005277045;XP_005277046;XP_005277047	NM_000420;XM_005249993;XM_005249994;XM_005249995;XM_005276988;XM_005276989;XM_005276990	ENSP00000347409;ENSP00000457677	P23276	TRUE	can	0	0	0	Last Universal Common Ancestor	0	Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism	chr7	142638342	142659160	|CD238|ECE3|	XP_005250050	0	FALSE	1	8	9096	0.1430	
3799	KIF5B	kinesin family member 5B	10p11.22	7214	6324	602809	NP_004512	NM_004521	ENSP00000307078	P33176	TRUE	cgc	1	0	0	Eukaryotes	12	Cellular processes	chr10	32304460	32344901	|HEL-S-61|KINH|KNS|KNS1|UKHC|	NP_004512	0	FALSE	1	84	28365	0.0730	5
3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4q12	1287	6342	164920	NP_000213;NP_001087241;XP_005265797;XP_005265798;XP_005265799;XP_006714101	NM_000222;NM_001093772;XM_005265740;XM_005265741;XM_005265742;XM_006714038	ENSP00000288135	P10721	TRUE	cgc	1	0	0	Eukaryotes	5	Cell cycle,Cellular metabolism,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr4	55524182	55604720	|C-Kit|CD117|PBT|SCFR|	XP_005265797	0	FALSE	4	95	32717	0.1260	28
3817	KLK2	kallikrein-related peptidase 2	19q13.41	1006	6363	147960	NP_001002231;NP_001243009;NP_005542;XP_006723269;XP_006723270;XP_006723271;XP_006723272	NM_001002231;NM_001002232;NM_001256080;NM_005551;NR_045762;NR_045763;XM_006723206;XM_006723207;XM_006723208;XM_006723209	ENSP00000313581	P20151	TRUE	cgc	1	0	1	Last Universal Common Ancestor	0	Cellular metabolism	chr19	51376730	51381812	|KLK2A2|hGK-1|hK2|	NP_005542	1	FALSE	1	16	11199	0.0670	
3845	KRAS	Kirsten rat sarcoma viral oncogene homolog	12p12.1	1817	6407	190070	NP_004976;NP_203524;XP_006719132	NM_004985;NM_033360;XM_006719069	ENSP00000309845	P01116	TRUE	cgc	1	0	2	Last Universal Common Ancestor	14	Cell cycle,Cell response to stimuli,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	chr12	25368378	25398318	|C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS3|RASK2|	NP_203524	2	FALSE	16	58	49674	0.0240	17
3895	KTN1	kinectin 1 (kinesin receptor)	14q22.1	2661	6467	600381	NP_001072989;NP_001072990;NP_001257943;NP_004977;XP_006720201;XP_006720202;XP_006720203;XP_006720204	NM_001079521;NM_001079522;NM_001271014;NM_004986;NM_182926;NR_073128;NR_073129;XM_006720138;XM_006720139;XM_006720140;XM_006720141	ENSP00000378720	Q86UP2	TRUE	cgc	1	0	0	Vertebrates	1	Cellular processes	chr14	56078767	56146402	|KNT|MU-RMS-40.19|	NP_001072989	0	FALSE	1	29	10410	0.0760	4
3899	AFF3	AF4/FMR2 family, member 3	2q11.2-q12	3272	6473	601464	NP_001020279;NP_002276;XP_005263999;XP_005264000;XP_005264002;XP_006712586	NM_001025108;NM_002285;XM_005263942;XM_005263943;XM_005263945;XM_006712523	ENSP00000348793	P51826	TRUE	cgc	1	0	0	Metazoans	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr2	100167939	100722045	|LAF4|MLLT2-like|	XP_005263999	0	FALSE	1	2	0	1.0000	
3908	LAMA2	laminin, alpha 2	6q22-q23	1125	6482	156225	NP_000417;NP_001073291;XP_005267038;XP_005267039	NM_000426;NM_001079823;XM_005266981;XM_005266982	ENSP00000400365	P24043	TRUE	can	0	0	0	Eukaryotes	0	Cell motility and interactions,Development	chr6	129204391	129837489	|LAMM|	XP_005267038	0	FALSE	1	4	34	0.1670	4
3910	LAMA4	laminin, alpha 4	6q21	2532	6484	600133	NP_001098676;NP_001098677;NP_001098678;NP_001098679;NP_002281;XP_005267040;XP_005267041;XP_006715543;XP_006715544	NM_001105206;NM_001105207;NM_001105208;NM_001105209;NM_002290;XM_005266983;XM_005266984;XM_006715480;XM_006715481	ENSP00000324532;ENSP00000462974	Q16363	TRUE	can	0	0	0	Eukaryotes	3	Cell motility and interactions,Development	chr6	112430643	112575352	|CMD1JJ|LAMA4*-1|	NP_001098676	0	FALSE	2	18	1006	0.0980	5
3927	LASP1	LIM and SH3 protein 1	17q11-q21.3	4229	6513	602920	NP_001258537;NP_006139	NM_001271608;NM_006148;NR_073384	ENSP00000325240	Q14847	TRUE	cgc	1	0	0	Eukaryotes	7	Cellular processes	chr17	37026443	37075028	|Lasp-1|MLN50|	NP_006139	0	FALSE	1	42	23177	0.0480	
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	1p34.3	1080	6524	153390	NP_001036236;NP_005347;XP_005270919;XP_005270920;XP_005270921	NM_001042771;NM_005356;XM_005270862;XM_005270863;XM_005270864	ENSP00000337825	P06239	TRUE	cgc	1	0	0	Eukaryotes	1	Cell cycle,Cell response to stimuli,Cellular metabolism,Cellular processes,Development,Immune system response,Regulation of intracellular processes and metabolism,Signal transduction	chr1	32739931	32751314	|IMD22|LSK|YT16|p56lck|pp58lck|	XP_005270919	0	FALSE	1	141	90242	0.0830	45
3936	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	13q14.3	1082	6528	153430	NP_002289;XP_005266431	NM_002298;XM_005266374	ENSP00000262709;ENSP00000315757	P13796	TRUE	cgc	1	0	1	Eukaryotes	2	Cellular processes	chr13	46701729	46733797	|CP64|HEL-S-37|L-PLASTIN|LC64P|PLS2|	NP_002289	1	FALSE	1	8	1802	0.0360	1
3954	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	4p16.3	5101	6556	604407	NP_036450;XP_005248027;XP_006713947	NM_012318;XM_005247970;XM_006713884	ENSP00000305653	O95202	TRUE	can	0	0	2	Eukaryotes	4	Signal transduction	chr4	1816154	1850937	|NA|	NP_036450	2	FALSE	1	10	1383	0.1110	
3977	LIFR	leukemia inhibitory factor receptor alpha	5p13-p12	1048	6597	151443	NP_001121143;NP_002301	NM_001127671;NM_002310	ENSP00000263409	P42702	TRUE	cgc	1	0	0	Vertebrates	10	Cell cycle,Regulation of intracellular processes and metabolism,Signal transduction	chr5	38481700	38530749	|CD118|LIF-R|SJS2|STWS|	NP_001121143	0	FALSE	1	13	7914	0.1410	3
4004	LMO1	LIM domain only 1 (rhombotin 1)	11p15	1738	6641	186921	NP_001257357;NP_002306;XP_006718291	NM_001270428;NM_002315;NR_073006;XM_006718228	ENSP00000338207	P25800	TRUE	cgc	1	0	1	Eukaryotes	0	-1	chr11	8246166	8252052	|RBTN1|RHOM1|	NP_002306	1	FALSE	1	37	7094	0.0410	
4005	LMO2	LIM domain only 2 (rhombotin-like 1)	11p13	1586	6642	180385	NP_001135787;NP_001135788;NP_005565;XP_005252977;XP_005252978;XP_006718292	NM_001142315;NM_001142316;NM_005574;XM_005252920;XM_005252921;XM_006718229	ENSP00000257818	P25791	TRUE	cgc	1	0	0	Eukaryotes	1	-1	chr11	33880905	33892633	|RBTN2|RBTNL1|RHOM2|TTG2|	XP_005252977	0	FALSE	1	99	84715	0.0330	7
4009	LMX1A	LIM homeobox transcription factor 1, alpha	1q24.1	2623	6653	600298	NP_001167540;NP_796372;XP_006711382	NM_001033507;NM_001174069;NM_177398;NM_177399;XM_006711319	ENSP00000294816	Q8TE12	TRUE	can	0	0	0	Eukaryotes	0	Cellular metabolism,DNA/RNA metabolism and transcription,Regulation of intracellular processes and metabolism,Regulation of transcription	chr1	165173120	165324796	|LMX1|LMX1.1|	NP_001167540	0	FALSE	1	6	1626	0.2670	
4026	LPP	LIM domain containing preferred translocation partner in lipoma	3q28	2828	6679	600700	NP_001161143;NP_001161144;NP_005569;XP_005247501;XP_005247502;XP_005247503;XP_005247504;XP_005247505;XP_005247507;XP_005247508;XP_005247510;XP_006713700	NM_001167671;NM_001167672;NM_005578;XM_005247444;XM_005247445;XM_005247446;XM_005247447;XM_005247448;XM_005247450;XM_005247451;XM_005247453;XM_006713637	ENSP00000318089	Q93052	TRUE	cgc	1	0	0	Eukaryotes	3	-1	chr3	187964917	188592264	|NA|	XP_005247501	0	FALSE	1	46	11758	0.1200	
4036	LRP2	low density lipoprotein receptor-related protein 2	2q31.1	2509	6694	600073	NP_004516;XP_006712589;XP_006712590;XP_006712591	NM_004525;XM_006712526;XM_006712527;XM_006712528	ENSP00000263816	P98164	TRUE	can	0	0	0	Metazoans	0	Cellular metabolism,Cellular processes,Development	chr2	169985176	170218909	|GP330|	NP_004516	0	TRUE	3	48	32003	0.0370	
4048	LTA4H	leukotriene A4 hydrolase	12q22	1056	6710	151570	NP_000886;NP_001243572;NP_001243573;XP_005268928	NM_000895;NM_001256643;NM_001256644;XM_005268871	ENSP00000228740	P09960	TRUE	can	0	0	0	Last Universal Common Ancestor	4	Cellular metabolism,Immune system response	chr12	96394770	96429297	|NA|	NP_000886	0	FALSE	1	13	2628	0.0380	
4058	LTK	leukocyte receptor tyrosine kinase	15q15.1-q21.1	1052	6721	151520	NP_001129157;NP_002335;NP_996844;XP_005254438;XP_005254439;XP_006720568	NM_001135685;NM_002344;NM_206961;XM_005254381;XM_005254382;XM_006720505	ENSP00000263800	P29376	TRUE	can	0	0	0	Eukaryotes	1	Cellular metabolism,Cellular processes,Signal transduction	chr15	41796197	41805907	|TYK1|	NP_002335	0	FALSE	2	9	57	0.2220	1
4060	LUM	lumican	12q21.33	-	6724	600616	NP_002336	NM_002345	ENSP00000266718	P51884	TRUE	can	0	0	0	Eukaryotes	0	Cell motility and interactions,Cell response to stimuli,Cellular processes	chr12	91497945	91502756	|LDC|SLRR2D|	NP_002336	0	FALSE	1	5	665	0.1000	2
